t#bar{t},	0.182709149	0.159777239	0.188703095	0.225488458	0.105053602	0.111324238	0.129161651	0.161482955	0.100749458	0.046165940	0.018648344	0.171942796	0.165017924	-0.030014263	-0.138645980	0.046013606	0.217356185	0.056740466	0.031246572	0.051078566
t#bar{t} jec_CorrelationGroupMPFInSitu up,	0.159836925	0.159777239	0.216383436	0.225488458	0.123340475	0.111324238	0.147720644	0.161482955	0.056965411	0.046165940	0.159398705	0.171942796	-0.036355940	-0.030014263	0.039858178	0.046013606	0.073721952	0.056740466	0.059130215	0.051078566
t#bar{t} jec_RelativeFSR up,	0.156594172	0.159777239	0.206003676	0.225488458	0.113811407	0.111324238	0.156199945	0.161482955	0.026056272	0.046165940	0.222375979	0.171942796	-0.075903105	-0.030014263	0.043423814	0.046013606	0.074935381	0.056740466	0.076502459	0.051078566
t#bar{t} jec_CorrelationGroupUncorrelated up,	0.156263558	0.159777239	0.222656451	0.225488458	0.110381890	0.111324238	0.126957151	0.161482955	0.067497818	0.046165940	0.172667367	0.171942796	-0.055947912	-0.030014263	0.070521837	0.046013606	0.027618969	0.056740466	0.101382871	0.051078566
t#bar{t} jec_FlavorPureGluon up,	0.159443756	0.159777239	0.232583458	0.225488458	0.112453273	0.111324238	0.154014537	0.161482955	0.042921639	0.046165940	0.172353463	0.171942796	-0.035577083	-0.030014263	0.081038004	0.046013606	0.014718216	0.056740466	0.066050737	0.051078566
t#bar{t} jec_FlavorPureQuark up,	0.159081590	0.159777239	0.210669925	0.225488458	0.139106074	0.111324238	0.122355438	0.161482955	0.052834191	0.046165940	0.199059412	0.171942796	-0.068564461	-0.030014263	0.044248940	0.046013606	0.081655528	0.056740466	0.059553364	0.051078566
t#bar{t} jec_FlavorPureCharm up,	0.159616239	0.159777239	0.226588294	0.225488458	0.121822891	0.111324238	0.143459044	0.161482955	0.076492138	0.046165940	0.127548940	0.171942796	-0.009254855	-0.030014263	0.060333719	0.046013606	0.052528594	0.056740466	0.040864996	0.051078566
t#bar{t} jec_FlavorPureBottom up,	0.157212562	0.159777239	0.227542454	0.225488458	0.101668463	0.111324238	0.171322874	0.161482955	0.024862198	0.046165940	0.197559307	0.171942796	-0.068252749	-0.030014263	0.081800788	0.046013606	0.056255262	0.056740466	0.050028841	0.051078566
t#bar{t} jer up,	0.157377508	0.159777239	0.220851296	0.225488458	0.116306988	0.111324238	0.147234902	0.161482955	0.051945542	0.046165940	0.175544685	0.171942796	-0.045719039	-0.030014263	0.036779174	0.046013606	0.071914518	0.056740466	0.067764426	0.051078566
t#bar{t} btag_heavy up,	0.158265310	0.159777239	0.227374669	0.225488458	0.130272274	0.111324238	0.113912759	0.161482955	0.122672980	0.046165940	0.075220707	0.171942796	0.033248892	-0.030014263	0.051774327	0.046013606	0.035600903	0.056740466	0.051657179	0.051078566
