t#bar{t} pileup up,	0.058851661	0.058000940	0.106173205	0.105226897	0.120737987	0.120195848	0.122229137	0.121985544	0.112873976	0.112677210	0.101388846	0.101569982	0.085300761	0.085645913	0.070377290	0.070672340	0.056552573	0.056814745	0.045191142	0.045543968	0.034097578	0.034447010	0.026069678	0.026233439	0.019076579	0.019228634	0.014013878	0.014240928	0.009583400	0.009714261	0.006627880	0.006739235	0.004625800	0.004705646	0.003063889	0.003113518	0.001898937	0.001936100	0.001265802	0.001307843
t#bar{t} pileup down,	0.057204596	0.058000940	0.104332146	0.105226897	0.119652247	0.120195848	0.121729397	0.121985544	0.112542437	0.112677210	0.101677643	0.101569982	0.085966920	0.085645913	0.070990671	0.070672340	0.057066868	0.056814745	0.045880391	0.045543968	0.034788520	0.034447010	0.026402164	0.026233439	0.019375917	0.019228634	0.014443945	0.014240928	0.009841665	0.009714261	0.006846310	0.006739235	0.004783842	0.004705646	0.003158657	0.003113518	0.001965534	0.001936100	0.001350131	0.001307843
t#bar{t} trig efficiency correction up,	0.057139370	0.058000940	0.104133407	0.105226897	0.119279461	0.120195848	0.121313761	0.121985544	0.112706905	0.112677210	0.101659267	0.101569982	0.085938512	0.085645913	0.071178177	0.070672340	0.057206556	0.056814745	0.045945399	0.045543968	0.034758920	0.034447010	0.026540515	0.026233439	0.019586639	0.019228634	0.014475422	0.014240928	0.009894828	0.009714261	0.006858090	0.006739235	0.004790923	0.004705646	0.003226846	0.003113518	0.002004881	0.001936100	0.001362121	0.001307843
t#bar{t} trig efficiency correction down,	0.057138106	0.058000940	0.104133066	0.105226897	0.119285480	0.120195848	0.121326480	0.121985544	0.112710352	0.112677210	0.101662288	0.101569982	0.085938540	0.085645913	0.071169794	0.070672340	0.057203174	0.056814745	0.045939809	0.045543968	0.034754046	0.034447010	0.026542948	0.026233439	0.019583786	0.019228634	0.014472618	0.014240928	0.009892743	0.009714261	0.006858577	0.006739235	0.004790303	0.004705646	0.003228771	0.003113518	0.002006338	0.001936100	0.001362782	0.001307843
t#bar{t} sel efficiency correction up,	0.057142087	0.058000940	0.104135649	0.105226897	0.119279709	0.120195848	0.121314400	0.121985544	0.112710174	0.112677210	0.101656630	0.101569982	0.085938371	0.085645913	0.071172410	0.070672340	0.057208385	0.056814745	0.045944222	0.045543968	0.034759416	0.034447010	0.026537907	0.026233439	0.019586247	0.019228634	0.014475397	0.014240928	0.009895389	0.009714261	0.006858187	0.006739235	0.004791839	0.004705646	0.003226431	0.003113518	0.002004972	0.001936100	0.001362177	0.001307843
t#bar{t} sel efficiency correction down,	0.057135369	0.058000940	0.104130775	0.105226897	0.119285194	0.120195848	0.121325920	0.121985544	0.112707070	0.112677210	0.101665055	0.101569982	0.085938669	0.085645913	0.071175542	0.070672340	0.057201277	0.056814745	0.045940968	0.045543968	0.034753548	0.034447010	0.026545602	0.026233439	0.019584175	0.019228634	0.014472639	0.014240928	0.009892171	0.009714261	0.006858480	0.006739235	0.004789373	0.004705646	0.003229197	0.003113518	0.002006250	0.001936100	0.001362727	0.001307843
t#bar{t} b fragmentation up,	0.056949637	0.058000940	0.103699519	0.105226897	0.118993897	0.120195848	0.121093076	0.121985544	0.112628273	0.112677210	0.101800122	0.101569982	0.085976119	0.085645913	0.071224015	0.070672340	0.057253787	0.056814745	0.046137365	0.045543968	0.034986583	0.034447010	0.026766292	0.026233439	0.019710815	0.019228634	0.014530995	0.014240928	0.009928501	0.009714261	0.006907037	0.006739235	0.004811949	0.004705646	0.003231083	0.003113518	0.001995664	0.001936100	0.001375270	0.001307843
t#bar{t} b fragmentation down,	0.057213875	0.058000940	0.104396068	0.105226897	0.119427203	0.120195848	0.121423571	0.121985544	0.112788105	0.112677210	0.101545253	0.101569982	0.085924887	0.085645913	0.071170992	0.070672340	0.057154960	0.056814745	0.045842707	0.045543968	0.034625213	0.034447010	0.026442497	0.026233439	0.019525081	0.019228634	0.014440379	0.014240928	0.009872353	0.009714261	0.006830218	0.006739235	0.004781869	0.004705646	0.003225271	0.003113518	0.002016263	0.001936100	0.001353235	0.001307843
t#bar{t} Peterson Frag,	0.056996230	0.058000940	0.103982375	0.105226897	0.119055010	0.120195848	0.121203521	0.121985544	0.112640583	0.112677210	0.101679872	0.101569982	0.085930914	0.085645913	0.071297601	0.070672340	0.057290957	0.056814745	0.045989246	0.045543968	0.034865687	0.034447010	0.026671076	0.026233439	0.019638941	0.019228634	0.014539809	0.014240928	0.009914633	0.009714261	0.006865428	0.006739235	0.004810033	0.004705646	0.003243209	0.003113518	0.002023208	0.001936100	0.001361668	0.001307843
t#bar{t} semilep BR up,	0.057143207	0.058000940	0.104135907	0.105226897	0.119290546	0.120195848	0.121328665	0.121985544	0.112698591	0.112677210	0.101658519	0.101569982	0.085931733	0.085645913	0.071172856	0.070672340	0.057199849	0.056814745	0.045934463	0.045543968	0.034764373	0.034447010	0.026543238	0.026233439	0.019587898	0.019228634	0.014472208	0.014240928	0.009894889	0.009714261	0.006857671	0.006739235	0.004791716	0.004705646	0.003228200	0.003113518	0.002004735	0.001936100	0.001360737	0.001307843
t#bar{t} semilep BR down,	0.057139485	0.058000940	0.104136370	0.105226897	0.119285499	0.120195848	0.121328215	0.121985544	0.112710833	0.112677210	0.101656366	0.101569982	0.085938934	0.085645913	0.071173613	0.070672340	0.057200989	0.056814745	0.045941434	0.045543968	0.034756737	0.034447010	0.026535862	0.026233439	0.019583585	0.019228634	0.014472648	0.014240928	0.009894343	0.009714261	0.006857006	0.006739235	0.004790714	0.004705646	0.003228342	0.003113518	0.002005692	0.001936100	0.001363333	0.001307843
t#bar{t} QCD scale 1,	0.057135838	0.058000940	0.104069793	0.105226897	0.119297270	0.120195848	0.121364614	0.121985544	0.112738569	0.112677210	0.101490866	0.101569982	0.085894546	0.085645913	0.071300430	0.070672340	0.057199349	0.056814745	0.045994209	0.045543968	0.034757701	0.034447010	0.026515174	0.026233439	0.019627988	0.019228634	0.014479989	0.014240928	0.009897572	0.009714261	0.006852231	0.006739235	0.004776303	0.004705646	0.003231068	0.003113518	0.002018951	0.001936100	0.001357538	0.001307843
