t#bar{t} pileup up,	0.277146432	0.275458142	0.318691448	0.318039569	0.153998191	0.154346816	0.097969453	0.098550721	0.061046024	0.061422008	0.037893314	0.038300565	0.046886176	0.047423518	0.006368962	0.006458661
t#bar{t} pileup down,	0.273605401	0.275458142	0.317445437	0.318039569	0.154775581	0.154346816	0.099134004	0.098550721	0.061840486	0.061422008	0.038696912	0.038300565	0.047951175	0.047423518	0.006551003	0.006458661
t#bar{t} trig efficiency correction up,	0.272709778	0.275458142	0.317094773	0.318039569	0.155356091	0.154346816	0.099214908	0.098550721	0.062147757	0.061422008	0.038841306	0.038300565	0.048080133	0.047423518	0.006555254	0.006458661
t#bar{t} trig efficiency correction down,	0.272758166	0.275458142	0.317178080	0.318039569	0.155349960	0.154346816	0.099181160	0.098550721	0.062113993	0.061422008	0.038816422	0.038300565	0.048050085	0.047423518	0.006552135	0.006458661
t#bar{t} sel efficiency correction up,	0.272657028	0.275458142	0.317055567	0.318039569	0.155407821	0.154346816	0.099230945	0.098550721	0.062163202	0.061422008	0.038844474	0.038300565	0.048084984	0.047423518	0.006555981	0.006458661
t#bar{t} sel efficiency correction down,	0.272810147	0.275458142	0.317216286	0.318039569	0.155299183	0.154346816	0.099165480	0.098550721	0.062098681	0.061422008	0.038813392	0.038300565	0.048045395	0.047423518	0.006551436	0.006458661
t#bar{t} b fragmentation up,	0.264956156	0.275458142	0.315062581	0.318039569	0.156732782	0.154346816	0.101178466	0.098550721	0.064012034	0.061422008	0.040456738	0.038300565	0.050608181	0.047423518	0.006993063	0.006458661
t#bar{t} b fragmentation down,	0.276590612	0.275458142	0.317966184	0.318039569	0.154584427	0.154346816	0.098235882	0.098550721	0.061241235	0.061422008	0.038062088	0.038300565	0.046954394	0.047423518	0.006365178	0.006458661
t#bar{t} Peterson Frag,	0.268156290	0.275458142	0.315453968	0.318039569	0.155954300	0.154346816	0.100350087	0.098550721	0.063317929	0.061422008	0.039953154	0.038300565	0.049931087	0.047423518	0.006883185	0.006458661
t#bar{t} semilep BR up,	0.272655928	0.275458142	0.317107443	0.318039569	0.155420942	0.154346816	0.099234850	0.098550721	0.062127303	0.061422008	0.038831612	0.038300565	0.048067391	0.047423518	0.006554530	0.006458661
t#bar{t} semilep BR down,	0.272680579	0.275458142	0.317039153	0.318039569	0.155443930	0.154346816	0.099231520	0.098550721	0.062146443	0.061422008	0.038834717	0.038300565	0.048069059	0.047423518	0.006554598	0.006458661
t#bar{t} QCD scale 1,	0.272981103	0.275458142	0.317240385	0.318039569	0.155252015	0.154346816	0.099102765	0.098550721	0.062064799	0.061422008	0.038798817	0.038300565	0.047988478	0.047423518	0.006571636	0.006458661
t#bar{t} QCD scale 2,	0.273232171	0.275458142	0.317332307	0.318039569	0.155200138	0.154346816	0.099023073	0.098550721	0.062029674	0.061422008	0.038769178	0.038300565	0.047897898	0.047423518	0.006515560	0.006458661
t#bar{t} QCD scale 3,	0.272963324	0.275458142	0.317226855	0.318039569	0.155297200	0.154346816	0.099130967	0.098550721	0.062103634	0.061422008	0.038800904	0.038300565	0.047973479	0.047423518	0.006503638	0.006458661
t#bar{t} QCD scale 4,	0.273550742	0.275458142	0.317433110	0.318039569	0.155085401	0.154346816	0.098903454	0.098550721	0.061952148	0.061422008	0.038729346	0.038300565	0.047816812	0.047423518	0.006528987	0.006458661
